Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP7","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","135.5000","16.0000","0","1.0mm circular SMD testpad"
"TP6","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","135.5000","17.9050","0","1.0mm circular SMD testpad"
"SW10","JS102011JCQN","TopLayer","JS102011JCQN","58.9280","45.7200","180","Sub-Miniature Slide Switch, SPDT, 300mA, 6V, Vertical, SMD"
"R50","1M0","TopLayer","RESC0603X03L_C","87.3252","31.2420","270","Resistor, ±1%, 0.05W"
"P20","Pin List 1x13","TopLayer","LIST_1x13_SMD","34.0360","45.7210","0","Pin List 1x13, 2.54mm (100mil), SMD"
"P23","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","92.6748","42.8000","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"U1","nRF9160-SICAB1A","TopLayer","LGA50P1600X1050X104-161N","122.3403","24.7640","0","Low power System-in-Package with integrated LTE-M/NB-IoT modem and GPS"
"L10","3.9nH","TopLayer","INDC0603X03L_C","103.1233","49.9361","90","Inductor, 400mA, ±0.1nH"
"L9","10µH","TopLayer","INDC1608X06L","98.9194","41.5876","0","Inductor, 80mA, ±10%"
"L8","15nH","TopLayer","INDC1005X04L","97.1696","42.0956","270","Inductor, 320mA, ±5%"
"L4","N.C.","TopLayer","INDC1005X04L_NC","132.6300","30.8800","180","Not mounted"
"L3","68nH","TopLayer","INDC1005X04L_WW","132.6300","32.6800","0","Inductor, 140mA, ±2%, 1960mO, Q=20"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","28.9560","22.9880","90","CBL PLUG-OF-NAILS 10-PIN"
"C12","39pF","TopLayer","CAPC0603X03L_C","133.1300","29.4800","270","Capacitor, NP0, ±1%, 25V"
"C11","39pF","TopLayer","CAPC0603X03L_C","131.0300","32.6800","0","Capacitor, NP0, ±1%, 25V"
"C89","N.C.","TopLayer","CAPC0603X03L_C_NC","140.7842","36.5770","270","Not mounted"
"R48","1M0","TopLayer","RESC0603X03L_C","105.2322","12.8270","0","Resistor, ±1%, 0.05W"
"TP45","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","104.1540","9.1450","180","1.5mm circular SMD testpad"
"Q1","PMCPB5530","TopLayer","PMCPB5530X","10.6767","60.0974","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
